run,K,alpha_word,alpha_ent,evaluation_result
12,200,0.5,0.40,59.5890
13,20,0.2,0.30,52.1581
13,20,0.2,0.40,42.1040
13,20,0.3,0.30,52.5647
13,20,0.3,0.40,42.1010
13,20,0.4,0.30,53.2694
13,20,0.4,0.40,50.2930
13,20,0.5,0.30,54.6433
13,20,0.5,0.40,40.1600
13,50,0.2,0.30,50.1043
13,50,0.2,0.40,42.9800
13,50,0.3,0.30,52.3578
13,50,0.3,0.40,59.7570
13,50,0.4,0.30,46.2384
13,50,0.4,0.40,47.8800
13,50,0.5,0.30,47.9949
13,50,0.5,0.40,54.1630
13,100,0.2,0.30,52.0370
13,100,0.2,0.40,69.3840
13,100,0.3,0.30,53.4338
13,100,0.3,0.40,56.4120
13,100,0.4,0.30,53.6508
13,100,0.4,0.40,57.2460
13,100,0.5,0.30,54.6643
13,100,0.5,0.40,42.8690
13,200,0.2,0.30,49.3238
13,200,0.2,0.40,56.3110
13,200,0.3,0.30,53.1078
13,200,0.3,0.40,62.4090
13,200,0.4,0.30,50.4548
13,200,0.4,0.40,43.4830
13,200,0.5,0.30,48.5634
13,200,0.5,0.40,49.5880
14,20,0.2,0.30,52.1581
14,20,0.2,0.40,44.7250
14,20,0.3,0.30,52.5647
14,20,0.3,0.40,58.4170
14,20,0.4,0.30,53.2694
14,20,0.4,0.40,46.1840
14,20,0.5,0.30,54.6433
14,20,0.5,0.40,45.3000
14,50,0.2,0.30,49.7429
14,50,0.2,0.40,48.9690
14,50,0.3,0.30,50.9987
14,50,0.3,0.40,49.2930
14,50,0.4,0.30,46.9397
14,50,0.4,0.40,50.0760
14,50,0.5,0.30,46.6195
14,50,0.5,0.40,40.7440
14,100,0.2,0.30,51.8822
14,100,0.2,0.40,52.2140
14,100,0.3,0.30,52.4316
14,100,0.3,0.40,57.5220
14,100,0.4,0.30,51.9316
14,100,0.4,0.40,42.0800
14,100,0.5,0.30,49.1500
14,100,0.5,0.40,46.3920
14,200,0.2,0.30,49.2989
14,200,0.2,0.40,44.3810
14,200,0.3,0.30,50.3140
14,200,0.3,0.40,44.1830
14,200,0.4,0.30,52.4191
14,200,0.4,0.40,42.1950
14,200,0.5,0.30,52.4438
14,200,0.5,0.40,52.6350
15,20,0.2,0.30,52.1581
15,20,0.2,0.40,47.3380
15,20,0.3,0.30,52.5647
15,20,0.3,0.40,43.4540
15,20,0.4,0.30,53.2694
15,20,0.4,0.40,28.9300
15,20,0.5,0.30,54.6433
15,20,0.5,0.40,52.6870
15,50,0.2,0.30,53.2625
15,50,0.2,0.40,49.4700
15,50,0.3,0.30,48.0457
15,50,0.3,0.40,51.6920
15,50,0.4,0.30,48.8589
15,50,0.4,0.40,45.9110
15,50,0.5,0.30,49.0434
15,50,0.5,0.40,53.2930
15,100,0.2,0.30,46.6999
15,100,0.2,0.40,53.7260
15,100,0.3,0.30,51.5060
15,100,0.3,0.40,36.6290
15,100,0.4,0.30,47.6726
15,100,0.4,0.40,47.6130
15,100,0.5,0.30,48.1502
15,100,0.5,0.40,46.0970
15,200,0.2,0.30,50.3026
15,200,0.2,0.40,46.4810
15,200,0.3,0.30,51.5364
15,200,0.3,0.40,61.5460
15,200,0.4,0.30,51.2381
15,200,0.4,0.40,40.0760
15,200,0.5,0.30,46.7220
15,200,0.5,0.40,55.3760
16,20,0.2,0.30,52.1581
16,20,0.2,0.40,48.8290
16,20,0.3,0.30,52.5647
16,20,0.3,0.40,56.1030
