run,K,alpha_word,alpha_ent,evaluation_result
9,50,0.2,0.30,47.664899999999996
9,50,0.2,0.40,57.228
9,50,0.3,0.30,48.4593
9,50,0.3,0.40,57.228
9,50,0.4,0.30,45.149899999999995
9,50,0.4,0.40,57.228
9,50,0.5,0.30,46.2488
9,50,0.5,0.40,57.228
9,100,0.2,0.30,41.9402
9,100,0.2,0.40,57.228
9,100,0.3,0.30,41.9402
9,100,0.3,0.40,57.228
9,100,0.4,0.30,42.2714
9,100,0.4,0.40,57.228
9,100,0.5,0.30,47.717099999999995
9,100,0.5,0.40,57.228
9,200,0.2,0.30,50.6575
9,200,0.2,0.40,57.228
9,200,0.3,0.30,50.434200000000004
9,200,0.3,0.40,57.228
9,200,0.4,0.30,51.7744
9,200,0.4,0.40,57.228
9,200,0.5,0.30,49.12029999999999
9,200,0.5,0.40,57.228
10,20,0.2,0.30,52.564699999999995
10,20,0.2,0.40,57.228
10,20,0.3,0.30,52.564699999999995
10,20,0.3,0.40,57.228
10,20,0.4,0.30,53.2694
10,20,0.4,0.40,57.228
10,20,0.5,0.30,54.6433
10,20,0.5,0.40,57.228
10,50,0.2,0.30,47.664899999999996
10,50,0.2,0.40,57.228
10,50,0.3,0.30,48.4593
10,50,0.3,0.40,57.228
10,50,0.4,0.30,45.149899999999995
10,50,0.4,0.40,57.228
10,50,0.5,0.30,46.2488
10,50,0.5,0.40,57.228
10,100,0.2,0.30,41.9402
10,100,0.2,0.40,57.228
10,100,0.3,0.30,41.9402
10,100,0.3,0.40,57.228
10,100,0.4,0.30,42.2714
10,100,0.4,0.40,57.228
10,100,0.5,0.30,47.717099999999995
10,100,0.5,0.40,57.228
10,200,0.2,0.30,50.6575
10,200,0.2,0.40,57.228
10,200,0.3,0.30,50.434200000000004
10,200,0.3,0.40,57.228
10,200,0.4,0.30,51.7744
10,200,0.4,0.40,57.228
10,200,0.5,0.30,49.12029999999999
10,200,0.5,0.40,57.228
11,20,0.2,0.30,52.564699999999995
11,20,0.2,0.40,57.228
11,20,0.3,0.30,52.564699999999995
11,20,0.3,0.40,57.228
11,20,0.4,0.30,53.2694
11,20,0.4,0.40,57.228
11,20,0.5,0.30,54.6433
11,20,0.5,0.40,57.228
11,50,0.2,0.30,47.664899999999996
11,50,0.2,0.40,57.228
11,50,0.3,0.30,48.4593
11,50,0.3,0.40,57.228
11,50,0.4,0.30,45.149899999999995
11,50,0.4,0.40,57.228
11,50,0.5,0.30,46.2488
11,50,0.5,0.40,57.228
11,100,0.2,0.30,41.9402
11,100,0.2,0.40,57.228
11,100,0.3,0.30,41.9402
11,100,0.3,0.40,57.228
11,100,0.4,0.30,42.2714
11,100,0.4,0.40,57.228
11,100,0.5,0.30,47.717099999999995
11,100,0.5,0.40,57.228
11,200,0.2,0.30,50.6575
11,200,0.2,0.40,57.228
11,200,0.3,0.30,50.434200000000004
11,200,0.3,0.40,57.228
11,200,0.4,0.30,51.7744
11,200,0.4,0.40,57.228
11,200,0.5,0.30,49.12029999999999
11,200,0.5,0.40,57.228
12,20,0.2,0.30,52.564699999999995
12,20,0.2,0.40,57.228
12,20,0.3,0.30,52.564699999999995
12,20,0.3,0.40,57.228
12,20,0.4,0.30,53.2694
12,20,0.4,0.40,57.228
12,20,0.5,0.30,54.6433
12,20,0.5,0.40,57.228
12,50,0.2,0.30,47.664899999999996
12,50,0.2,0.40,57.228
12,50,0.3,0.30,48.4593
